,civ1,elo1,tc1_1,tc1_2,win1,civ2,elo2,tc2_1,tc2_2,win2,oro0_0,oro0_1,oro1_0,oro1_1,oro2_0,oro2_1,oro3_0,oro3_1,oro4_0,oro4_1,oro5_0,oro5_1,oro6_0,oro6_1,oro7_0,oro7_1,piedra0_0,piedra0_1,piedra1_0,piedra1_1,piedra2_0,piedra2_1,piedra3_0,piedra3_1,piedra4_0,piedra4_1,piedra5_0,piedra5_1,baya0_0,baya0_1,baya1_0,baya1_1,bosque0_0,bosque0_1,bosque1_0,bosque1_1,bosque2_0,bosque2_1,bosque3_0,bosque3_1,bosque4_0,bosque4_1,bosque5_0,bosque5_1
0,35.0,1834.0,20.0,60.0,1.0,17.0,1832.0,99.0,63.0,0.0,48.57142857142857,98.28571428571428,62.5,42.5,88.5,92.0,3.666666666666664,36.66666666666666,67.57142857142857,10.285714285714283,102.33333333333331,57.33333333333334,73.75,43.25,84.75,102.0,50.5,83.5,40.5,19.5,112.5,87.0,75.6,108.4,6.5,95.0,72.4,25.4,62.0,33.833333333333336,52.33333333333334,105.16666666666666,53.852941176470594,115.95588235294123,47.61764705882353,4.088235294117717,79.54838709677416,36.40322580645165,77.95522388059698,90.91044776119406,44.85714285714286,31.571428571428623,39.79104477611939,103.85074626865676
1,16.0,2495.0,60.0,99.0,1.0,19.0,2508.0,37.0,27.0,0.0,79.5,68.5,8.5,24.5,19.0,116.0,33.85714285714286,47.85714285714286,107.0,48.85714285714285,75.0,103.0,51.75,29.75,91.25,85.25,22.4,50.2,106.5,41.0,58.5,98.0,44.75,29.25,113.8,65.2,73.5,19.0,38.0,28.5,85.5,65.5,26.459459459459442,19.864864864864828,113.99999999999996,54.102941176470594,46.819444444444414,46.875,6.784946236559208,38.182795698924735,104.67142857142856,83.18571428571424,90.41791044776122,41.179104477611936
2,2.0,1894.0,31.0,88.0,0.0,2.0,1990.0,94.0,39.0,1.0,40.42857142857143,107.28571428571428,74.28571428571428,31.857142857142858,46.33333333333334,5.333333333333336,112.33333333333331,117.33333333333331,39.25,71.75,93.5,5.5,13.5,100.0,88.5,53.5,48.8,83.0,98.0,18.0,42.5,1.0,16.5,50.0,107.75,36.75,58.5,99.0,86.0,18.5,36.16666666666666,107.0,21.05797101449281,94.01449275362316,105.49295774647894,28.971830985915496,67.55384615384615,36.969230769230755,55.217391304347814,95.5942028985507,29.652173913043494,113.02898550724642,101.54545454545458,10.621212121212167
3,32.0,2130.0,87.0,30.0,1.0,6.0,2020.0,29.0,86.0,0.0,13.333333333333336,41.333333333333336,97.85714285714286,35.14285714285714,28.857142857142854,73.57142857142857,24.0,108.5,75.66666666666667,90.33333333333334,79.0,54.25,92.0,6.5,4.5,96.0,97.4,19.599999999999994,43.4,92.4,34.5,37.0,81.5,48.5,74.0,117.5,34.0,105.5,71.66666666666666,25.333333333333336,28.5,99.83333333333331,12.102941176470615,94.11764705882351,92.26153846153849,47.15384615384616,33.76811594202901,65.97101449275362,66.11881188118812,34.28712871287129,43.86956521739132,78.31884057971016,108.53846153846158,35.6
4,4.0,2261.0,31.0,31.0,1.0,16.0,2224.0,77.0,96.0,0.0,83.0,75.42857142857143,28.714285714285715,43.28571428571429,10.666666666666664,100.33333333333334,85.66666666666666,33.66666666666667,40.25,8.25,118.5,89.0,85.75,56.0,20.25,11.75,91.8,91.4,45.4,27.6,26.0,101.5,96.0,5.5,76.75,68.25,39.75,50.25,108.16666666666666,77.83333333333333,33.833333333333336,18.666666666666668,104.12844036697255,57.651376146789,14.462686567164269,34.58208955223878,70.2375,82.21249999999998,48.52941176470587,15.661764705882367,93.29850746268656,96.86567164179108,49.99999999999999,46.11764705882352
5,16.0,2323.0,60.0,99.0,1.0,33.0,2368.0,49.0,21.0,0.0,43.0,47.75,96.75,82.25,24.0,23.25,104.71428571428572,49.85714285714286,10.714285714285717,56.57142857142857,58.33333333333334,109.33333333333334,8.666666666666671,6.333333333333344,110.5,84.0,85.4,60.4,23.6,64.2,79.0,117.5,79.0,3.5,3.5,48.0,100.75,41.0,19.5,35.5,111.5,57.66666666666666,83.59701492537314,74.88059701492536,11.47826086956522,63.07246376811594,34.84057971014493,36.56521739130436,83.01449275362319,42.91304347826085,106.67164179104479,75.34328358208955,27.125,77.375
6,1.0,1925.0,21.0,69.0,0.0,33.0,2003.0,84.0,91.0,1.0,81.57142857142857,95.0,49.25,32.25,76.42857142857143,31.571428571428577,97.75,59.75,19.333333333333343,69.33333333333333,92.75,10.25,116.33333333333331,34.66666666666667,72.0,74.5,51.0,24.5,95.0,102.5,77.8,74.6,0.5,19.0,48.0,113.5,68.8,6.799999999999998,101.83333333333331,92.16666666666666,83.0,23.5,82.0138888888889,106.05555555555556,84.1969696969697,9.803030303030283,103.41095890410959,71.39726027397259,81.87096774193549,42.951612903225815,56.29629629629628,7.555555555555586,109.73529411764707,85.60294117647055
7,1.0,2050.0,29.0,86.0,1.0,36.0,2072.0,87.0,30.0,0.0,43.0,95.42857142857142,76.14285714285714,35.42857142857143,8.0,73.75,106.5,39.0,88.0,115.0,46.33333333333334,20.66666666666667,99.0,51.5,20.5,67.5,97.0,44.5,44.4,81.6,92.2,13.599999999999996,38.5,31.0,108.5,88.0,40.5,102.5,17.833333333333336,83.66666666666667,97.83333333333331,36.66666666666667,74.05882352941174,45.51470588235296,9.09638554216874,99.27710843373495,104.78787878787882,15.363636363636381,52.16949152542373,98.67796610169492,70.2258064516129,16.04301075268819,30.470588235294073,70.51470588235296
8,2.0,2114.0,48.0,98.0,1.0,16.0,2074.0,99.0,56.0,0.0,55.0,85.42857142857143,110.71428571428572,49.0,24.66666666666667,2.3333333333333433,4.333333333333344,92.66666666666666,82.5,104.0,96.0,69.5,111.5,26.5,77.0,94.5,116.75,39.25,60.0,113.0,110.0,104.5,45.5,48.0,102.8,35.8,72.75,107.25,69.0,91.5,98.83333333333331,62.16666666666667,107.10294117647057,68.94117647058823,40.85074626865668,99.64179104477614,82.20289855072465,54.33333333333335,85.74390243902441,34.256097560975626,59.220588235294144,76.35294117647061,29.166666666666693,86.54166666666669
9,36.0,2323.0,89.0,86.0,0.0,33.0,2368.0,21.0,50.0,1.0,62.57142857142857,15.857142857142858,82.71428571428571,102.42857142857143,0.6666666666666714,43.66666666666667,102.0,38.0,29.0,22.75,112.0,95.25,62.5,88.0,65.75,40.75,33.0,29.5,82.5,70.5,30.0,105.5,2.0,62.5,100.8,90.4,47.2,35.8,55.66666666666667,31.333333333333336,73.16666666666667,91.0,71.6376811594203,27.79710144927536,88.07462686567162,108.55223880597012,56.88961038961037,3.909090909090999,93.70588235294115,70.98529411764707,50.641791044776106,44.34328358208955,63.18840579710144,96.9565217391304
